"ec_num","comments"
"1.1.1.1","A zinc protein. Acts on primary or secondary alcohols or hemi-acetals with very broad specificity; however the enzyme oxidizes methanol much more poorly than ethanol. The animal, but not the yeast, enzyme acts also on cyclic secondary alcohols."
"1.1.1.2",A zinc protein. Some members of this group oxidize only primary alcohols; others act also on secondary alcohols. May be identical with EC 1.1.1.19 (L-glucuronate reductase) and EC 1.1.1.55 [lactaldehyde reductase (NADPH)]. Re-specific with respect to NADPH.
"1.1.1.3","The yeast enzyme acts most rapidly with NAD+; the Neurospora enzyme with NADP+. The enzyme from Escherichia coli is a multi-functional protein, which also catalyses the reaction of EC 2.7.2.4 (aspartate kinase)."
"1.1.1.4",Also converts diacetyl into acetoin with NADH as reductant.
"1.1.1.5",NADP+ also acts as acceptor.
"1.1.1.6","Also acts on propane-1,2-diol."
"1.1.1.8","Also acts on propane-1,2-diol phosphate and glycerone sulfate (but with a much lower affinity)."
"1.1.1.9",Also acts as an L-erythrulose reductase.
"1.1.1.14","This enzyme is widely distributed and has been described in archaea, bacteria, yeast, plants and animals. It acts on a number of sugar alcohols, including (but not limited to) L-iditol, D-glucitol, D-xylitol, and D-galactitol. Enzymes from different organisms or tissues display different substrate specificity. The enzyme is specific to NAD+ and can not use NADP+."
"1.1.1.15",Also converts xylitol into L-xylulose and L-glucitol into L-fructose.
"1.1.1.16",Also converts other alditols containing an L-threo-configuration adjacent to a primary alcohol group into the corresponding sugars. The enzyme from Agrobacterium fabrum C58 is part of D-altritol and galactitol degradation pathways.
"1.1.1.19",Also reduces D-galacturonate. May be identical with EC 1.1.1.2 [alcohol dehydrogenase (NADP+)].
"1.1.1.21",Has wide specificity.
"1.1.1.22",Also acts on UDP-alpha-D-2-deoxyglucose.
"1.1.1.23",Also oxidizes L-histidinal. The Neurospora enzyme also catalyses the reactions of EC 3.5.4.19 (phosphoribosyl-AMP cyclohydrolase) and EC 3.6.1.31 (phosphoribosyl-ATP diphosphatase).
"1.1.1.24","The enzyme, found mostly in bacteria (mostly, but not exclusively in Gram-positive bacteria), fungi, and plants, participates in the degradation of quinate and shikimate with a strong preference for NAD+ as a cofactor. While the enzyme can act on both quinate and shikimate, activity is higher with the former. cf. EC 1.1.5.8, quinate/shikimate dehydrogenase (quinone), EC 1.1.1.282, quinate/shikimate dehydrogenase [NAD(P)+], and EC 1.1.1.25, shikimate dehydrogenase (NADP+)."
"1.1.1.25","NAD+ cannot replace NADP+ [3]. In higher organisms, this enzyme forms part of a multienzyme complex with EC 4.2.1.10, 3-dehydroquinate dehydratase [4]. cf. EC 1.1.1.24, quinate/shikimate dehydrogenase (NAD+), EC 1.1.5.8, quinate/shikimate dehydrogenase (quinone), and EC 1.1.1.282, quinate/shikimate dehydrogenase [NAD(P)+]."
"1.1.1.26",Reduces glyoxylate to glycolate or hydroxypyruvate to D-glycerate.
"1.1.1.27","Also oxidizes other (S)-2-hydroxymonocarboxylic acids. NADP+ also acts, more slowly, with the animal, but not the bacterial, enzyme."
"1.1.1.30",Also oxidizes other 3-hydroxymonocarboxylic acids.
"1.1.1.33",May be identical with EC 1.1.1.2 [alcohol dehydrogenase (NADP+)].
"1.1.1.34",The enzyme is inactivated by EC 2.7.11.31 {[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase} and reactivated by EC 3.1.3.47 {[hydroxymethylglutaryl-CoA reductase (NADPH)]-phosphatase}.
"1.1.1.35","Also oxidizes S-3-hydroxyacyl-N-acylthioethanolamine and S-3-hydroxyacyl-hydrolipoate. Some enzymes act, more slowly, with NADP+. Broad specificity to acyl chain-length (cf. EC 1.1.1.211 [long-chain-3-hydroxyacyl-CoA dehydrogenase])."
"1.1.1.37","There are several forms of malate dehydrogenases that differ by their use of substrate and cofactors. This NAD+-dependent enzyme forms oxaloacetate and unlike EC 1.1.1.38, malate dehydrogenase (oxaloacetate-decarboxylating), is unable to convert it to pyruvate. Also oxidizes some other 2-hydroxydicarboxylic acids. cf. EC 1.1.1.82, malate dehydrogenase (NADP+); EC 1.1.1.299, malate dehydrogenase [NAD(P)+]; and EC 1.1.5.4, malate dehydrogenase (quinone)."
"1.1.1.38","Unlike EC 1.1.1.39, malate dehydrogenase (decarboxylating), this enzyme can also decarboxylate oxaloacetate. cf. EC 1.1.1.40, malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)."
"1.1.1.39","There are several forms of malate dehydrogenases that differ in their use of substrates and cofactors. This particular form is found only in the plant kingdom. Unlike EC 1.1.1.38, which catalyses a similar reaction, this enzyme can not bind oxaloacetate, and thus does not decarboxylate exogeneously-added oxaloacetate. cf. EC 1.1.1.37, malate dehydrogenase; EC 1.1.1.38, malate dehydrogenase (oxaloacetate-decarboxylating); and EC 1.1.1.83, D-malate dehydrogenase (decarboxylating)."
"1.1.1.40","The enzyme catalyses the oxidative decarboxylation of (S)-malate in the presence of NADP+ and divalent metal ions, and the decarboxylation of oxaloacetate. cf. EC 1.1.1.38, malate dehydrogenase (oxaloacetate-decarboxylating), and EC 1.1.1.39, malate dehydrogenase (decarboxylating)."
"1.1.1.41","Requires Mn2+ or Mg2+ for activity. Unlike EC 1.1.1.42, isocitrate dehydrogenase (NADP+), oxalosuccinate cannot be used as a substrate. In eukaryotes, isocitrate dehydrogenase exists in two forms: an NAD+-linked enzyme found only in mitochondria and displaying allosteric properties, and a non-allosteric, NADP+-linked enzyme that is found in both mitochondria and cytoplasm [7]. The enzyme from some species can also use NADP+ but much more slowly [9]."
"1.1.1.42","Requires Mn2+ or Mg2+ for activity. Unlike EC 1.1.1.41, isocitrate dehydrogenase (NAD+), oxalosuccinate can be used as a substrate. In eukaryotes, isocitrate dehydrogenase exists in two forms: an NAD+-linked enzyme found only in mitochondria and displaying allosteric properties, and a non-allosteric, NADP+-linked enzyme that is found in both mitochondria and cytoplasm [6]. The enzyme from some species can also use NAD+ but much more slowly [6,7]."
"1.1.1.44","The enzyme participates in the oxidative branch of the pentose phosphate pathway, whose main purpose is to produce NADPH and pentose for biosynthetic reactions. Highly specific for NADP+. cf. EC 1.1.1.343, phosphogluconate dehydrogenase (NAD+-dependent, decarboxylating)."
"1.1.1.45",Also oxidizes other L-3-hydroxyacids.
"1.1.1.47","This enzyme has similar activity with either NAD+ or NADP+. cf. EC 1.1.1.118, glucose 1-dehydrogenase (NAD+) and EC 1.1.1.119, glucose 1-dehydrogenase (NADP+)."
"1.1.1.48","This enzyme is part of the De Ley-Doudoroff pathway, which is used by some bacteria during growth on D-galactose."
"1.1.1.49","The enzyme catalyses a step of the pentose phosphate pathway. The enzyme is specific for NADP+. cf. EC 1.1.1.363, glucose-6-phosphate dehydrogenase [NAD(P)+] and EC 1.1.1.388, glucose-6-phosphate dehydrogenase (NAD+)."
"1.1.1.50","The enzyme acts on androsterone and other 3alpha-hydroxysteroids and on 9-, 11- and 15-hydroxyprostaglandin. Si-specific with respect to NAD+ or NADP+. cf. EC 1.1.1.213, 3alpha-hydroxysteroid 3-dehydrogenase (Re-specific)."
"1.1.1.51",Also acts on other 3beta- or 17beta-hydroxysteroids. cf. EC 1.1.1.209 3(or 17)alpha-hydroxysteroid dehydrogenase.
